Notes,Keywords/Phrases,Category
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with rashad and am passing to the dcoe to be resolved please see additional information fibre routing is quoted e d but fibre cable only goes to tried for lift and shift but no spare ports available to use llums case has been raised ref no afie ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i could not repair on the day i have discussed with banca and am passing to the dcoe to be resolved please see additional information this task also attempted by other engineers in the past few weeks quoted fibre ports not in stcb phoned dcoe who explained a lums case has been raised and that there were no available fibre ports in stcb lums case reference af ie i have raised this issue with patch lead and furthered to dcoe to resolve test results dn lles result ltok in and out date today jin o eng pin eskys eng uin xxxxxxxxx,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with dcoe and am passing to the dcoe to be resolved please see additional information spoke with dcoe and tried to find correct port port location was found faulty with no fibre ports through cab ref af ie eco ref ,the allocated ports are unavailable or faulty,dslam capacity issue
ends photographic evidence available i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with dcoe and am passing to the dcoe to be resolved please see additional information lums case af ti raised with dcoe dt and slower than desired sync speeds through new fibre ports and connected to allocated d side linked install unable to be complete due to unavailable hoist ,the allocated ports are unavailable or faulty,dslam capacity issue
 notes no sync on fibre port contacted dcoe for lift and shift no spare ports available af ie ,no spare ports available,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i could not repair on the day i have discussed with ein xxxxxxxxx and am passing to the dcoe to be resolved please see additional information fibre ports in incorrect stcb fibre ports required to be ceased from stcb and reprovided to stcb correct copper routing mdf z stcb e d dp pair cease and re provide required ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with na and am passing to the dcoe to be resolved please see additional information still no spare fibre ports lums case af ie ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with unknown and am passing to the dcoe to be resolved please see additional information ports not working fttc helpdesk not providing new ports customer initial install not yet complete so no loss of service ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with jacob and am passing to the dcoe to be resolved please see additional information there is an outstanding llums case against this task and stcb dcoe state it has a completion date by november the llums case was submitted ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with n a and am passing to the dcoe to be resolved please see additional information this is still unable to be provided due to faulty fibre ports i spoke to dcoe who were u able to allocate a lift and shift for me due to an outstanding lums case on the account ongoing issues with the fibre in stcb i spoke to second stage who also advised there is nothing they can do until the lums case has been actioned by the relevant engineers it would appear any ports further than do not exist please do not send this task back out until this has been resolved ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i could not repair on the day i have discussed with sohini and am passing to the dcoe to be resolved please see additional information no spare ports available due to ongoing issues ref afie sohini xxxxxxxxxx,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with n a and am passing to the dcoe to be resolved please see additional information ease see additional information this task keeps getting sent back out when it shouldn t do please read previous notes regarding this task liaise with service provider and second stage team to resolve the fibre issue in this stcb so we can clear these provides ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i could not repair on the day i have discussed with n a and am passing to the dcoe to be resolved please see additional information please read previous notes incident number afie ,the allocated ports are unavailable or faulty,dslam capacity issue
ends photographic evidence available i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i could not repair on the day i have discussed with naand am passing to the dcoe to be resolved please see additional information no fibre ports added to cab as of yet lums case outstanding patch lead aware do not re issue job ,the allocated ports are unavailable or faulty,dslam capacity issue
ends photographic evidence available i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with gita and am passing to the dcoe to be resolved please see additional information please see previous engineers note for lums case number ,the allocated ports are unavailable or faulty,dslam capacity issue
ends photographic evidence available i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i could not repair on the day i have discussed with aftl lumms and am passing to the dcoe to be resolved please see additional information faulty fibre port no spares llums ref afti ,the allocated ports are unavailable or faulty,dslam capacity issue
ends photographic evidence available i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i could not repair on the day i have discussed with bianca and am passing to the dcoe to be resolved please see additional information ports don t exist llums case raised waiting on civics om aware b mckinlay ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with unknownand am passing to the dcoe to be resolved please see additional information as per previous engineer notes the llums case has not been completed confirmed with dcoe informed manager that dcoe stated that the date on the llums case is th of this month and it s only the st now llums ref is afie ,the allocated ports are unavailable or faulty,dslam capacity issue
 notes unable to complete si due to no sync on allocated fibre port called smc for lift and shift no spare ports available ,no spare ports available,dslam capacity issue
 notes gt si no spare ports available unable to carry out lift and shift unable to complete task af ie ,no spare ports available,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with unknown and am passing to the dcoe to be resolved please see additional information on site quoted fibre port non existent in cab asked for spares from fttc helpdesk no spares available and llums case has been raised as of the th september reference number is afie have let eu know ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i could not repair on the day i have discussed with dcoe and am passing to the dcoe to be resolved please see additional information fibre ports don t go up to and i have confirmed this myself and dcoe as last in cab shorts out in location no pairs after this point so quoted fibre port does not exist lums afie ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with marina and am passing to the dcoe to be resolved please see additional information quoted port doesn t exist as only goes up to tried ports and but all faulty llums case ref afti ,the allocated ports are unavailable or faulty,dslam capacity issue
ends i cannot complete this task as linked order is delayed because the allocated ports are unavailable or faulty and i m not skilled to repair myself i have discussed with unknown and am passing to the dcoe to be resolved please see additional information quoted port does not exist in stcb llums case has already been raised as there are no spare ports and the work has not yet been complete the llums number is afti ,the allocated ports are unavailable or faulty,dslam capacity issue
ends jumpered in stcb as per records minute dsl close out test ok tfgh fast test ok ,tfgh fast test ok,order completed in field
 upstreamspeed downstreamspeed tested nottestedreason demoperson doorcolor questions closurenotes tfgh mfl ok ltok customer equipment detected end tfgh mfl ok potential rf issue detected on gea service down mbit s up mbit s in sync on rf ingress yes end dcoe rang due to inconclusive test resit dcoe operative gave the go ahead to use the port operatives name hema uin xxxxxxxxx,ltok customer equipment detected,order completed in field
ends fttc self install complete as per task details stcb jumper task only do not visit end customer no answer on rara stcb jumpering of copper to fibre completed dial tone present and sync speeds all correct through the dslam pushed through on e d and quoted fibre portstfgh fast test ok to e side dslam min sync test completed si prove it submitted test results dn tfgh result ltok all sockets unplugged date today jin k eng pin ndcxc eng uin xxxxxxxxx, stcb jumpering of copper to fibre completed fttc self install complete,order completed in field
ends all tests pass router set up and device connected demo d to eu circuit id tfgh job f k line test type fttc provision request time result summary no copper test result expected for this test request mfl test reference tfgh result summary gea service test completed and no fault found in sync on tfgh mfl ok tfgh uprate mbit s tfgh downrate mbit s ,all tests pass router set up and device connected gea service test completed and no fault found,order completed in field
 poi stcb sync ltok tfgh mfl ok ltok customer equipment detected end circuit test results before tfgh mfl ok ltok customer equipment detected end circuit test results after ok up speed ok down speed ok ,ltok customer equipment detected,order completed in field
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises work not commenced please see additional information visited site had this as an fttc provide repair line had a battery fault on proved battery to be on the d side customers not home tried contact number phones switched off i put ocilator on at cabinet tried buzzing d side back to joint but couldn t hear it only way to prove up will be access to customers to prove pair to joint outside a raised wet corroded joint remake required ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises jumper work is completed at the cabinet please see additional information nd no access and can t get into property ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises jumper work is completed at the cabinet please see additional information see notes on linked proved task for same customer and do not re issue this task until the provide task is complete ,unable to access openreach line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises jumper work is completed at the cabinet please see additional information unable to gain access to eu premise or to companyname plant job passed back to cp for re appointment spoken to customer on the phone unable to get to site installation is required as the customer didn t have a working line to start with so this job should ve had an install with it i ve made the customer aware that an appointment will be required to get access into the house circuit id llmr job f o line test type llu provision request time result summary start faulting at end customer dp dis in network mfl ce test reference tfgh result summary not known tfgh mfl not known tfgh uprate not known tfgh downrate not known ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises jumper work is completed at the cabinet please see additional information need access to prove a good line no nte detected testing in to property no answer on contact number appointment required ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises work not commenced please see additional information workman present but not sure where line needs to be resident not available need resident to be there to confirm where nte is required ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises jumper work is completed at the cabinet no manually entered closure notes ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises work not commenced no manually entered closure notes ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises work not commenced please see additional information unable to gain access to eu premise or to companyname rang number at eu flat entrance with no answer and no answer on phone number ,unable to access companyname line plant located within companyname network,copper pending line plant access issue
ends i cannot complete this task because i was unable to access companyname line plant located within companyname network work not commenced please see additional information unable to provide line to prem on the day provide sent back for planning solution wayleave needed to be able to provide line ,unable to access companyname line plant located within companyname network,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within companyname network pq test is failing on ac balance access to eq through locked security gate customer to arrange for access please see additional information unable to complete fault on wire access to eq needed but locked gate preventing access customer to arrange access as landlord has lost combination ,unable to access companyname line plant located within companyname network,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within companyname network work not commenced please see additional information order needs to be delayed as planned solution required to resolve issue of no network to property linked provision furthered to planning with cr submitted customer is aware ,unable to access openreach line plant located within openreach network,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises jumper work is completed at the cabinet please see additional information need to prove up the back end from customer as all ok at stcb customer not home spoke to customer on the phone and they not able to get back to the property so she told that she will ring her cp to rebook another appointment for when she s home ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends i cannot complete this task because i was unable to access companyname line plant located within companyname network work not commenced please see additional information linked provision is incomplete due to service pipe issues advised by patch lead mehmi to further ,unable to access companyname line plant located within companyname network,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within companyname network work not commenced please see additional information the customer has a new build house where no lines have been installed advised by patch lead to send to planning team the builder who built the house has not contacted companyname about installing lines no line of sight to any eq to get a drop wire up quoted eq is metres down the road nearest eq is a d pole and will need traffic management customer is aware and is expecting a call from the planning team ,unable to access companyname line plant located within companyname network,copper pending line plant access issue
ends i cannot complete this task because i was unable to access companyname line plant located within companyname network work not commenced please see additional information no eq plant in basement i have spoken to mark our local planner he is aware of this site and there is a job built to have this eq moved by combining another dp mark wants these job to be put into planning so he can get the notes and job details so we can let the customer know when work has been completed and go back and do install and g fast work i have spoken to manager please don t send this job back out till we ve had confirmation new eq is fitted ,unable to access companyname line plant located within companyname network,copper pending line plant access issue
ends i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises work not commenced please see additional information see linked install order as unable to get line in service due to being unable to climb pole until tested ,unable to access openreach line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises jumper work is completed at the cabinet please see additional information cab work complete but there is no dropwire going to house customer not on site and no reply from mobile message and card left for customer for access ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends i cannot complete this task because i was unable to access companyname line plant located within companyname network external work is completed please see additional information please pass to planning customer does not want cable going through the back of the property pole in front of customers house but cannot get height required large bracket suggested but customer does not want bracket fitting ,unable to access companyname line plant located within companyname network,copper pending line plant access issue
ends i cannot complete this task because i was unable to access companyname line plant located within companyname network work not commenced no manually entered closure notes ,unable to access companyname line plant located within companyname network,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within companyname network work not commenced please see additional information end user phoned to say they are not available for access today and she phoned up last saturday to re appoint for different day work not commenced line not provided ,unable to access companyname line plant located within companyname network,copper pending line plant access issue
ends i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises work not commenced please see additional information part of an install job this job has been sent back again as no access and eu contact details unrecognised please see notes from install ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises work not commenced please see additional information no answer on ring ahead arrived at front door of flats no answer off buzzer unable to access to start work ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises work not commenced please see additional information linked to installation task unable to access property customer not in unable to contact ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends i cannot complete this task because i was unable to access companyname line plant located within companyname network work not commenced please see additional information no answer on ring ahead rang buzzer on arrival no answer sat minutes rang again still no answer work not commenced ,unable to access companyname line plant located within companyname network,copper pending line plant access issue
ends i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises external work is completed please see additional information battery contact cleared pair good to dp rec loop going into house no access ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises dw and lead in via hoist required no reply cono please see additional information no access dw and lead in to renew hoist required ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within companyname network external work is completed please see additional information dp d pole please call for info ,unable to access companyname line plant located within companyname network,copper pending line plant access issue
ends i cannot complete this task because i was unable to access companyname line plant located within companyname network work not commenced please see additional information install task still outstanding unable to access companyname line plant ,unable to access openreach line plant located within openreach network,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises jumper work is completed at the cabinet please see additional information cab jumpering all done unable to do cease on donor fibre ports as e side has been taken already when all put through fast test is rectified loop called to customers nobody home phone goes straight to txt messaging service dropwire lead in is present which will be causing issue and probably an old nte clear at pole appointment needed to change lead in and master socket ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises work not commenced please see additional information met ken spooner onsite as the building is not finished yet now works started confirmed a duct will be at the front of the building for dropwire to be connected to internal comms cable property fed by cp off dp not dp as per routing hoist required for dp and due to what looks like a porch at the front of the building hoist maybe required building not ready till november furthered both instal and si task due to length of delay instal furthered is vbh patch lead aware ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises work not commenced please see additional information no access manager informed ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises work not commenced please see additional information customer not present for linked install task further no access ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within companyname network work not commenced please see additional information new build flats and no eq exists yet linked copper provide furthered to planning ,unable to access openreach line plant located within openreach network,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises work not commenced please see additional information incorrect number ring ahead call multiple times and sent texts arrived eu premises no access try number again ring cp spoken to aron informed no other contact number and no note on systems informed by aron would note system as to call and contact tried premises again no access as advise attached task no access as order note confirms with eu ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises need access to property to tone out correct pair as per previous engineer notes fibre jumpering task in stcb complete contractual provider to arrange appointment with cp so we can gain access no manually entered closure notes ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within companyname network work not commenced please see additional information rang customer she advised that she had already spoke to her sp to rearrange appointment as she is at work and cannot attend site due to this i cannot complete this task or the linked install task ,unable to access companyname line plant located within companyname network,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises jumper work is completed at the cabinet please see additional information jimpering done need appointment to fix fault ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within companyname network jumper work is completed at the cabinet please see additional information eq on another building unable to tetra in sync at stcb ,unable to access companyname line plant located within companyname network,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within companyname network work not commenced please see additional information end user is still awaiting dig from eq to jf to be done before service can be provided ,unable to access openreach line plant located within openreach network,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within the end customer s premises jumper work is completed at the cabinet please see additional information advised task was raised in error by cp needs appointment ,unable to access companyname line plant located within the end customer s premises,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within companyname network work not commenced please see additional information need access to eu as quoted d side in stcb is taken no cabinet work started ,unable to access companyname line plant located within companyname network,copper pending line plant access issue
ends i cannot complete this task because i was unable to access companyname line plant located within companyname network work not commenced please see additional information this task has a linked install which has been furthered due to no access to companyname lineplantall notes on install task ,unable to access companyname line plant located within companyname network,copper pending line plant access issue
ends photographic evidence available i cannot complete this task because i was unable to access companyname line plant located within companyname network work not commenced please see additional information customer rang me before arrival and said he had explained to cp he cannot attend due to a family emergency requested job to be rescheduled ,unable to access companyname line plant located within companyname network,copper pending line plant access issue
ends i cannot complete this task because i have run out of time within my scheduled hours the end customer can use the service the work outstanding is internet working but there is a cidt fault and noise on d tried multiple new pairs but still the same fault is either between cab tails and next joint or faulty dslam please re issue in morning please see additional information internet is working but there is a cidt fault and noise on d side tried multiple new pairs but still the same fault is either between cab tails and next joint or faulty dslam please re issue in morning as i am on an absence ,have run out of time within my scheduled hours but there is a cidt fault and noise on d tried multiple new pairs but still the same fault is either between cab tails and next joint or faulty dslam ,fault in network
ends service provided at original nte a location test unsuccessful tried times ,service provided at original nte a location test unsuccessful,fault in network
ends i cannot complete this task because the end customer or their representative is unaware of the order please see additional information spoke to ahmed on and he was a unaware of appointment for phone line and broadband he had not ordered anything he said no one would be at house travelled to premise and spoke to guy at house who said he had not ordered anything and was happy with his virgin media broadband , the end customer or their representative is unaware of the order,sales query
ends please note fibre and line on wrong cab line and fibre should be routed to cab due to wrong address , fibre should be routed to wrong address ,sales query
ends i cannot complete this task because the end customer or their representative is unaware of the order please see additional information could not complete this task due to the fact that the customer is unaware of this installation and will need to have a customer query about this job team leader is aware of the situation , the end customer or their representative is unaware of the order,sales query
ends i cannot complete this task because the end customer or their representative is unaware of the order please see additional informationcustomer unaware of my visit and wasn t able to do any work without consent from building owners , the end customer or their representative is unaware of the order,sales query
ends i cannot complete this task because the end customer or their representative is unaware of the order please see additional information went to the prem customer not a aware of a new line being installed she has two working lines with broadband patch led aware the customer said she needs fttp and not another pstn line with fttc job returned to cp spoke to riley una , the end customer or their representative is unaware of the order,sales query
ends i cannot complete this task because the end customer or their representative is unaware of the order no manually entered closure notes , the end customer or their representative is unaware of the order,sales query
ends i cannot complete this task because the end customer or their representative is unaware of the order please see additional information arrived on site no one aware of order contact details provided are for someone who has not worked for business for over a year unable to get in to cuppard to eq as no keys cp to query , the end customer or their representative is unaware of the order,sales query
ends photographic evidence available i cannot complete this task because the end customer or their representative was not present at the premises jumper work is completed at the cabinet please see additional information i suspect this is marino s pizza which is closed contact no unusable jumpering complete at stcb ltok ,cannot complete this task because the end customer or their representative was not present at the premises,reappointment needed eu not present
ends photographic evidence available i cannot complete this task because the end customer or their representative was not present at the premises work not commenced please see additional information spoke to eu who states that the appointment was re arranged for the th september no work started currently ltok ,cannot complete this task because the end customer or their representative was not present at the premises,reappointment needed eu not present
ends i cannot complete this task because the end customer or their representative was not present at the premises work not commenced no manually entered closure notes ,cannot complete this task because the end customer or their representative was not present at the premises,reappointment needed eu not present
ends photographic evidence available i cannot complete this task because the end customer or their representative was not present at the premises work not commenced no manually entered closure notes ,cannot complete this task because the end customer or their representative was not present at the premises,reappointment needed eu not present
ends photographic evidence available i cannot complete this task because the end customer or their representative was not present at the premises work not commenced please see additional information no answer on contact numbers no answer to buzzer unable to complete installation ,cannot complete this task because the end customer or their representative was not present at the premises,reappointment needed eu not present
ends photographic evidence available i cannot complete this task because the end customer or their representative was not present at the premises work not commenced please see additional information this is a locked gated site and access only from resident no answer from cono so no access unable to leave a ,cannot complete this task because the end customer or their representative was not present at the premises,reappointment needed eu not present
ends photographic evidence available i cannot complete this task because the end customer or their representative was not present at the premises work not commenced please see additional information no access to property tried numerous times to call customer but phone rings once then cuts off unable to gain access work not commenced ,cannot complete this task because the end customer or their representative was not present at the premises,reappointment needed eu not present
ends photographic evidence available i cannot complete this task because the end customer or their representative was not present at the premises jumper work is completed at the cabinet please see additional information rara successful customer said cp told her no visit was needed so nobody is in the office all day jumpering at stcb completed but can t complete a managed install without access tfgh showing loop at end customer eq is also internal pqt done and vdsl close out both pass at stcb circuit id tfgh job f n line test type fttc provision request time result summary cidt line test ok loop detected unplug all end user equip and re test t mfl ok test reference tfgh result summary modem is not in sync out of sync last in sync on tfgh mfl ca tfgh uprate not known tfgh downrate not known ,cannot complete this task because the end customer or their representative was not present at the premises,reappointment needed eu not present
ends photographic evidence available i cannot complete this task because the end customer or their representative was not present at the premises work not commenced please see additional information no access at premises manager at premises requires install for a monday or tuesday morning ,cannot complete this task because the end customer or their representative was not present at the premises,reappointment needed eu not present
ends i cannot complete this task because the end customer or their representative was not present at the premises work not commenced please see additional information no access no flat number contact details goes straight to bt screening have rung times informed patch led have also left a no access card with patch leads mobile and no one has contacted him ,cannot complete this task because the end customer or their representative was not present at the premises,reappointment needed eu not present
ends photographic evidence available i cannot complete this task because the end customer or their representative was not present at the premises work not commenced please see additional information attempted to ring eu prior to my arrival no answer arrived onsite and knocked on door no answer attempted to ring eu again no answer message posted through door to advise of my visit and call me back as soon as possible task held until end of day and then furthered as no responded back to me in regards to install om aware ,cannot complete this task because the end customer or their representative was not present at the premises,reappointment needed eu not present
ends i cannot complete this task because the end customer advised the order is cancelled please see additional information rang ahead to advise we would be installing service today call ended by contact before i could explain what was happening have traveled to site incase customer through we were a sales call no answer at premesis called contact back who advised she has cancelled the order sending back for cancelled order ,the end customer advised the order is cancelled,order cancelled
ends i cannot complete this task because the end customer advised the order is cancelled please see additional information end customer cancelled order eu wants to stay with virgin ,the end customer advised the order is cancelled,order cancelled
ends i cannot complete this task because the end customer advised the order is cancelled please see additional information rang ahead eu cancelled order ,the end customer advised the order is cancelled,order cancelled
ends i cannot complete this task because the end customer advised the order is cancelled please see additional information on ring ahead eu didn t want any work commenced unless i cp can guarantee that their existing landline number wouldn t change eu wants existing number to stay the same been given a new number to work off so eu has cancelled appointment no work commenced frames work still needs doing as ft testing dis at exchange ,the end customer advised the order is cancelled,order cancelled
ends i cannot complete this task because the end customer advised the order is cancelled please see additional information eu wants to cancel order the is no line plant in house only virgin media adviced eu i can do fit today and get broadband telephone to box outside house but he would have to wait for dig work to be complete in order to use services eu said he s waited weeks and doesn t want to wait any longer and will go with virgin also eu doesn t want to upset his neighbours on estate by having paventment dug up for new duct and feed patch lead pete aware ,the end customer advised the order is cancelled,order cancelled
ends i cannot complete this task because the end customer advised the order is cancelled please see additional information visited ec premises and was advised that this order is cancelled ,the end customer advised the order is cancelled,order cancelled
